メニュー名,分量,カロリー,塩分,調理時間,画像URL,材料,作り方,URL
揚げずにパリパリ♪ベビースターから揚げ,2人分,,300g,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R2379.jpg,"鶏もも肉: 300g
おやつカンパニー　ベビースターラーメン(チキン味): 約60g
酒: 大さじ１
しょうゆ: 大さじ１/２
おろしにんにく: 小さじ１
おろししょうが: 小さじ１
片栗粉: 大さじ２
レモン、レタス: 好みで","1 水タンクに水を入れる。(水位1以上)
2 鶏もも肉はひと口大に切り、[A]で下味をつけておく。(30分程度、短めでもOK)
ベビースターラーメンは袋ごと手で軽く砕いておく。
3 鶏もも肉に味が付いたら、汁気をきって片栗粉と砕いたベビースターラーメンを全体にまぶす。
4 油をぬった調理網にのせ、上段へ入れる。
まかせて調理 網焼き・揚げる → スタート
5 加熱後、レタスやレモンと一緒に器に盛る。
おすすめポイント
ベビースターラーメンのパリパリ食感が楽しい唐揚げです。しっかりチキン風味が付いているので、塩胡椒は不要です。調理の際には少し砕いておくと、衣がくっつきやすくなります。
★このレシピは「うちれぴ」とのコラボレーションによる、株式会社おやつカンパニーご提供レシピです。

「うちれぴ」連携について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R2379
揚げないフライドチキン,4人分,約282kcal,0.6g,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1405.jpg,"鶏もも肉(骨付き・ぶつ切り): 600g
塩: 小さじ1/4
こしょう: 少々
薄力粉: 大さじ3
サラダ油: 大さじ1","1 水タンクに水を入れる。(水位1以上)
2 鶏肉に塩、こしょうをふる。
3 ビニール袋に、薄力粉と鶏肉を入れ、ふって混ぜ合わせる。
4 サラダ油を入れ、また口をおさえてふって混ぜ合わせる。
5 角皿に調理網2枚をのせる。調理網の中央寄りに4を皮目を上にして並べる。
6 角皿を上段に入れる。
まかせて調理 網焼き・揚げる → スタート → 強め(※30秒以内に押す)
レシピ提供：ボブとアンジー　監修：料理家　水野　恵",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1405
揚げパン,,約430kcal(5本),0.6g,11分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0445.jpg,"食パン(6枚切り): 2枚
バター: 50g
グラニュー糖: 適量","1 水タンクに水を入れる。(水位1以上)
2 食パンのミミを1cm幅に切る。残りのパンを6等分に切る。
3 耐熱容器にバターを入れ、ラップをして庫内中央に置く。(角皿は入れません)
レンジ → 200W・約2分 → スタート
4 パン(ミミも)に3をかけて、まんべんなくからめる。
5 角皿に調理網2枚をのせ、4を並べる。
6 5を上段に入れる。
お料理選択 → メニュー検索 → カテゴリーから探す → お菓子・ドライフード → すべてのメニュー → 揚げパン → スタート
手動でするときは：下段に入れ、ウォーターグリル・予熱なしで約12～14分※自動加熱とは棚位置が異なります
7 加熱後、ビニール袋にパンを入れ、グラニュー糖をからめる。
※写真は、グラニュー糖にシナモンを混ぜています。
※ミミを1cm角に切って、角皿の外周寄りに重ならないように広げて揚げパンと一緒に加熱するとクルトンができます。スープやサラダのアクセントにどうぞ。(加熱が足りないときは、様子を見ながら手動のウォーターグリルで加熱を追加してください。)",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0445
揚げ豚とオクラのみぞれあえ,2人分,約294kcal,2.0g,,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R3530.jpg,"揚げ豚・エリンギ: 1パック
オクラ: 1パック
たれ: 1パック
大根おろし: 2パック","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※大根おろしとたれは加熱中、常温に置いておきます。
1 水タンクに水を入れる。(水位1以上)
2 角皿にクッキングシートを敷き、揚げ豚、オクラ、エリンギを平らにおく。
3 角皿を上段に入れる。
まかせて調理 炒める → スタート → 弱め(※30秒以内に押す)
4 加熱後、たれをかけて混ぜ、大根おろしをかける。
※ 加熱後の角皿はやけどに気をつけて取り出してください。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R3530
揚げ豚と白菜の和風生姜あん,3人分,約200kcal,1.3g,,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R3580.jpg,"具材: 1パック
たれ: 1パック","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
たれはほぐせるやわらかさになるまで解凍する。（目安：流水1-2分） 全解凍の必要はありません。
1 水タンクに水を入れる。(水位1以上)
2 角皿にクッキングシートを敷き、全材料をのせ、具材とたれを軽く混ぜあわせる。
3 角皿を上段に入れる。
まかせて調理 → 炒める → スタート
5 加熱後、やけどに気をつけながら角皿を取り出し、クッキングシートの上で軽く混ぜ合わせて、器に盛り付ける。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R3580
あさりの酒蒸し,4人分,約26kcal,0.9g,13分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0112.jpg,"あさり: 400g
酒: 50mL","1 水タンクに水を入れる。(水位2)
2 あさりは塩水にしばらくつけて砂を出す。
3 底の平らな浅い耐熱容器にあさりを重ならないように入れ、酒をふる。
4 角皿に3をのせ、上段に入れる。

まかせて調理 蒸す・ゆでる → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0112
あさりのトマト蒸し,2人分,約47kcal,1.0g,10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0774.jpg,"あさり: 200g
トマト(粗く刻む): 1個
白ワイン: 大さじ1/2
オリーブオイル: 小さじ1
にんにく(みじん切り): 少々
塩、こしょう: 各少々
パセリ(刻む): 適量","1 水タンクに水を入れる。(水位2)
2 あさりは塩水にしばらくつけて砂を出し、底の平らな耐熱容器に入れる。
3 2に[A]を加えて混ぜる。
4 角皿の中央に3を置き、上段に入れる。
お料理選択 → ヘルシオおすすめ → 8～10分　100メニュー → パパッと10分 → 蒸し → スタート
手動でするときは：蒸し物で約8～10分
5 加熱後、パセリを散らす。
※加熱後、開いていない貝があれば、別の小さな耐熱容器に入れてラップをして、レンジ500Wで様子を見ながら加熱します。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0774
あさりのパスタ(レンジメニュー),2人分,約447kcal,2.5g,17分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R2204.jpg,"スパゲティ(7分ゆでタイプ・太さ1.6mmのもの): 160g
あさり(塩水につけて砂を出す): 200g
水: 300mL
オリーブオイル: 大さじ2
塩: 小さじ1/4
にんにく(すりおろす): 1かけ
青ねぎ(小口切り): 適量
白ワイン(好みで加えてください): 適量","1 耐熱容器に[A]を入れ、混ぜ合わせる。半分に折ったスパゲティを向きをそろえて入れ、あさりを加え、ふんわりとラップをして庫内中央に置く。(角皿は入れません)
お料理選択 → らくチン１品 → らくチン！パスタ → スタート
2 加熱後、すぐにフォークで底から混ぜ合わせてほぐし、[B]を加えて、さらに混ぜ合わせる。
※お好みで、明太子をのせてもよいでしょう。
らくチン！パスタのポイント
・ボウルは「レンジ加熱可」の耐熱性の容器をご使用ください。材料が入る大きさであれば、どんな大きさのものでも使えます。
・材料は、2人分を記載しています。半量や倍量にして、1～4人分まで自動で調理することができます。
・食材は、手順に記載の順に入れてください。
詳しくは、《コチラ！》",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R2204
アジアンチキンライス,4人分,,600g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R2281.jpg,"鶏もも肉: 2枚(500g)
塩、こしょう: 各適量
白ねぎ: 1/2本(50g)
あたたかいごはん: 600g
鶏がらスープの素: 小さじ2
塩、こしょう: 各適量
ナンプラー: 大さじ1
おろしにんにく: 小さじ1
サラダ油: 小さじ2
ナンプラー: 大さじ2
砂糖: 大さじ2
酢: 大さじ2
オイスターソース: 大さじ1
しょうゆ: 大さじ1
ごま油: 大さじ1
ナッツ(好みで加えてください): 適量
白ねぎ(好みで加えてください): 適量","1 水タンクに水を入れる。(水位1以上)
2 鶏肉に塩・こしょうをし、1枚をそれぞれ12等分する。白ねぎは輪切りにする。ごはんと[A]を混ぜ合わせる。
3 角皿にクッキングシートを敷き、ごはんを広げる。その上に白ねぎをのせ、鶏肉を皮を上にして並べる。
4 3を上段に入れる。
まかせて調理 炒める → スタート
5 加熱後、皿に盛り付け、よく混ぜ合わせた[B]をかける。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R2281
あじと新玉ねぎのオーブン焼き,4人分,約303kcal,1.0g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1331.jpg,"あじ: 2尾
白ワイン: 大さじ1
塩: 少々
こしょう: 少々
新玉ねぎ: 200g
サルタナレーズン: 20g
ラム酒: 小さじ1/4
オリーブ油: 少々
生パン粉: 60g
くるみ(粗刻み): 30g
イタリアンパセリ(みじん切り): 大さじ1
粉チーズ: 大さじ2
オリーブ油: 大さじ2
レモン: 1/4個","1 水タンクに水を入れる。(水位1以上)
2 あじは三枚に卸し、骨とぜいごを丁寧に取る。塩、白ワインをふってしばらく置く。水気を取り、塩、こしょうをする。
※ぜいごとはあじの尾の近くにあるとげ状の固いうろこのことです。
3 玉ねぎは繊維にそって薄切りにする。
4 サルタナレーズンは洗って乾炒りし、ラム酒に漬けておく。
5 角皿にクッキングシートを敷き、3を敷いて2を並べ、4を散らす。合わせた[A]をのせて、上段に入れる。
まかせて調理 焼く → スタート → 弱め(※30秒以内に押す)
6 焼き上がれば器に盛り、くし形に切ったレモンを添える。
レシピ提供：ボブとアンジー　監修：料理家　菊池　令子",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1331
あじのアスパラポテト焼き,4人分,約154kcal,1.2g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1541.jpg,"あじ(上身): 4枚
塩: 適量
酒: 適量
濃口しょうゆ: 小さじ1
グリーンアスパラガス: 4本
じゃがいも(男爵): 130g
らっきょう(甘酢漬け): 3粒
白みそ: 大さじ1
マヨネーズ: 大さじ1
薄口しょうゆ: 小さじ1/2
松の実: 20粒
はじかみしょうが(甘酢漬け): 4本
笹の葉: 4枚","1 水タンクに水を入れる。(水位1以上)
2 あじは中骨を抜いて[A]をふり、しばらくおく。
3 グリーンアスパラガスは根元の固い部分を切り落とし、ハカマを取って1cmの長さに切る。
4 じゃがいもは皮をむいて1cmの角切りにし、水にさらす。
5 粗みじんに切ったらっきょうと[B]、3、4をよく混ぜる。
6 角皿にクッキングシートをしき、2のあじの水気をふき、身のほうを上にして並べる。その上に5をのせ、松の実を散らす。角皿を上段に入れる。
まかせて調理 焼く → スタート
7 器に笹の葉を敷いて6を盛り、飾り切りにしたはじかみしょうがを添える。
レシピ提供：ボブとアンジー　監修 ： 料理研究家　石井　美音",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1541
あじの辛味焼き＆きのこのホイル焼き,2人分,約119kcal,0.9g,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0185.jpg,"あじ(3枚おろし): 4枚(1枚50g)
白ねぎ: 適量
しょうゆ: 小さじ2
酒: 小さじ1
豆板醤: 少々
しめじ: 100g
えのきだけ: 100g
だし昆布: 5cm角X2枚
酒: 大さじ1
大根(おろす): 200g
青ねぎ(小口切り): 2本
ポン酢しょうゆ: 適量","1 水タンクに水を入れる。(水位1以上)
2 あじは1枚を2等分する。白ねぎは4cm長さの細切りにし、水につけておく。
3 ビニール袋に[A]とあじを入れて袋の口を結んで上下を返しながら冷蔵室で約30分漬けこむ。
4 しめじ、えのきだけは石づきを取り、ほぐす。
5 アルミホイルを2枚広げ、だし昆布を敷き、その上に4を2等分してのせ、酒を大さじ1/2ずつふりかけて包む。
6 角皿の左側にクッキングシートを敷き、汁気をきった3のあじをのせる。右側に5を並べる。
7 角皿を上段に入れる。
手動調理 → ウォーターグリル → 予熱なし・1段 → 約15分 → スタート
8 加熱後、皿に盛り、あじには水気をきった2の白ねぎ、きのこには、大根おろし、青ねぎをのせ、ポン酢しょうゆをかけていただく。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0185
あじの中華風湯葉巻き揚げ,4人分,約300kcal,2.3g,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1382.jpg,"あじ(上身): 250g
長ねぎ: 1/2本
にんじん: 60g
ピーマン: 1個
干ししいたけ: 3枚
板湯葉: 4枚(17cm×15cm)
酒: 大さじ1
しょうゆ: 大さじ1
ごま油: 小さじ2
塩: 小さじ1/4
こしょう: 少々
水溶き片栗粉: 適量
揚げ油: 適量
サラダ菜: 適量","1 水タンクに水を入れる。(水位1以上)
2 あじは皮を引き、身を包丁で細かくたたく。
3 長ねぎ、にんじんは5cmの長さのせん切りにし、ピーマン、戻した干ししいたけもせん切りにする。
4 板湯葉はザルに置き熱湯をかけて戻す。
5 2と3を合わせ、[A]を加えてよく混ぜる。
6 5を8等分して4で包み、巻き終わりに水溶き片栗粉をぬって止め、表面にハケでサラダ油をまんべんなく塗る。
7 角皿に調理網2枚をのせ、中央に6を並べる。角皿を上段に入れる。
まかせて調理 網焼き・揚げる → スタート
8 3等分して、サラダ菜を敷いた器に盛る。
レシピ提供：ボブとアンジー　監修：料理家　菊池　令子",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1382
あじの南蛮漬け,4人分,約267kcal,3.3g,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1214.jpg,"あじ(切り身): 3切れ
片栗粉: 適量
揚げ油: 適量
玉ねぎ: 1/2個
にんじん: 60g
ピーマン: 2個
酢: 120mL
砂糖: 大さじ3
塩: 小さじ1と1/2
だし汁: 150mL
しょうが汁: 小さじ1と1/2","1 水タンクに水を入れる。(水位1以上)
2 あじは食べやすい大きさに切り、軽く塩(分量外)をふり、15分以上置いておく。
3 玉ねぎは薄切りに、にんじんとピーマンは細めのせん切りにする。
4 アルミホイルに3の野菜をのせて包む。
5 鍋に酢、砂糖、塩、だし汁を入れてひと煮立ちさせ、しょうが汁を加えて冷まし、甘酢を作っておく。
6 あじから出てきた水分をふき取り、片栗粉をまぶしてよく粉をおとしておく。
7 角皿に調理網2枚をのせ、中央にあじ、空いたスペースに4をのせ、上段に入れる。

※加熱するときは、アルミホイルを閉じる。
※写真の付属品は、実際のものとは異なります。
まかせて調理 網焼き・揚げる → スタート
8 加熱後、あじと野菜を甘酢の中に浸す。
レシピ提供：ボブとアンジー　監修：管理栄養士　野川　彩",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1214
あじのひき肉はさみ揚げ,4人分,約402kcal,2.0g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1381.jpg,"パン粉: 60g
サラダ油: 大さじ3
あじ(上身): 4切れ(240g)(小ぶりなら8切れ)
塩: 少々
こしょう: 少々
鶏ひき肉: 100g
パン粉: 10g
卵: 1/3個分
ウスターソース: 小さじ1
トマトケチャップ: 小さじ2
パセリ(みじん切り): 大さじ1
塩: 少々
こしょう: 少々
薄力粉: 適量
溶き卵: 適量
しょうが: 20g
バター: 20g
薄力粉: 大さじ1/2
ブイヨン: 150mL
生クリーム: 150mL
しょうが汁: 大さじ1
レモン汁: 大さじ1/2
塩: 少々
こしょう: 少々
にんじん: 30g
レモン皮: 1/2個分
絹さや: 4枚
ブイヨン: 適量","1 水タンクに水を入れる。(水位1以上)
2 こんがりパン粉を作る。こんがりパン粉の材料をフライパンに入れ、よく混ぜ合わせて火にかけ、混ぜながら、全体をきつね色にする。(このときの色がほぼ焼き上がりの色になります。)
3 あじは2枚にスライスして、塩、こしょうをする。
4 ひき肉に[A]を加えてよく練り混ぜる。
5 4を4等分して3ではさみ、薄力粉、溶き卵、こんがりパン粉の順にフライ衣を付ける。
6 角皿に調理網2枚をのせ、中央に5を並べる。角皿を上段に入れる。
手動調理 → グリル・予熱なし → 約20分 → スタート
7 付け合わせ[C]のにんじん、レモン皮、絹さやは3cmの長さのせん切りにして、ブイヨンでサッと煮る。
8 ジンジャーソース[B]はバターを熱し、せん切りのしょうがを炒めて薄力粉を加え、ブイヨンで溶きのばす。少し煮詰め、生クリームを加えてひと煮立ちさせ、しょうが汁、レモン汁を加えて、塩、こしょうで味をととのえる。
9 器に8のジンジャーソースを敷き、6を盛って、付け合わせ7を飾る。
レシピ提供：ボブとアンジー　監修：料理家　菊池　令子",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1381
