メニュー名,メニュー番号,分量,カロリー,調理時間,画像URL,材料,作り方,URL
アスパラガス(ゆで),0084,,,10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4084.jpg,アスパラガス: 100～400g,"1 まぜ技ユニットを本体にセットする。
2 内鍋に材料を入れる。
※100gのときは水大さじ1を加える。
メニューを選ぶ → メニュー番号で探す → No.0084(アスパラガス) → 調理を開始する → スタート
3 加熱後、余熱で加熱が進みやすいので、すぐに取り出す。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4084
あずきの甘酒,0106,,約543kcal(全量),1分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4106.jpg,"あずき(乾燥): 60g
水(A): 280mL
水(B): 200mL
米麹(乾燥・一粒ずつにばらしておく): 100g","■あずきを炊く
1 内鍋、内ぶた、まぜ技ユニット、材料をかき混ぜるスプーンなどは、アルコール消毒または煮沸消毒(下記参照)して冷ましておく。
2 まぜ技ユニットを本体にセットする。
3 内鍋に洗ったあずき、水(A)を加えて、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0122(つぶあん) → 調理を開始する → スタート
4 途中、報知音が鳴れば、とりけしキーを押し、内鍋を取り出してあら熱を取る。
■あずきの甘酒を作る
5 4の内鍋に水(B)と米麹を入れてよく混ぜ合わせ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0106(あずきの甘酒) → 調理を開始する → スタート
発酵・低温調理について※お作りになる前に必ずお読みください
●温度設定：自動調理の発酵・低温調理は、加熱スタート後1分以内であれば温度の変更ができます(±３℃まで)。また、食材や調理環境によっては、調理温度と設定温度に差がある場合があります。
●保存：できあがった食品は、内鍋に入れたまま放置せず、すぐに取り出してください。塩麹や手作りみそなどの発酵食品以外は冷蔵室で保存の上、1～2日以内を目安に食べきってください。
●食材：新鮮なものを使用し、生ものを取り扱う際は手袋などをして直接触れないよう衛生面に注意して調理してください。
●ジッパー付き食品保存袋を使用する場合、下記項目をお読みのうえ、食品の漏れや熱による溶け、焦げなどに注意して正しくお使いください。
・ジッパー付き食品保存袋はポリエチレン製の耐熱温度100℃、厚さ0.06mm以上のものをご使用ください。
・食材を入れた後、空気をしっかり抜き、上部が上になるように内鍋に入れてください。
・内鍋に必ず水を水位MAXまで入れ、蒸しトレイをセットしてから加熱してください。
・各メニューに記載の分量や使い方などを変更すると、うまく仕上がらない場合があるため、記載通りに調理してください。
・記載している以外の使いかたは、蒸気・内容物の噴き出しややけどの原因になる恐れがありますので、注意してください。
煮沸消毒について
・内鍋に直接食材を入れて作る発酵・低温調理メニューを調理するときは、内鍋、内ぶた、まぜ技ユニット、加熱前に材料をかき混ぜるスプーン等は煮沸消毒をしてから使います。
1 内ぶた、まぜ技ユニットは本体にセットする。内鍋に水約200mLとスプーン等を入れ、本体にセットする。
手動で作る → スープを作る → まぜない → 約20分 → スタート
2 加熱後、内鍋を本体から取り出して湯を捨て、ラップをして冷ます。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4106
アップルフィリング,0407,材料：4人分,約81kcal,45分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4407.jpg,"りんご: 600g
レーズン: 30ｇ
砂糖: 50g
シナモンパウダー: 適量
レモン汁: 大さじ１
白ワイン: 大さじ１","1 まぜ技ユニットを本体にセットする。
2 りんごは8等分のくし切りにして皮と芯を取り、5mm厚さの薄切りにする。
3 内鍋に全材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0407(アップルフィリング) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4407
厚揚げの肉みそあえ,0533,材料：2人分,約412kcal,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4533.jpg,"豚ひき肉: 100g
砂糖: 大さじ2
酒: 大さじ1と1/2
しょうゆ: 大さじ1
水: 大さじ1/2
みそ: 大さじ1/2
おろししょうが: 小さじ1
厚揚げ(2.5cm角に切る): 2枚(1枚100～150g)
白ねぎ(みじん切り): 1/2本","1 まぜ技ユニットを本体にセットする。
2 内鍋に混ぜ合わせた[A]、厚揚げ、白ねぎの順に入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0533(厚揚げの肉みそあえ) → 調理を開始する → スタート
3 加熱後、全体を混ぜる。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4533
厚切り大根と鶏手羽元のさっぱり煮,0355,材料：4人分,約274kcal,45分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4355.jpg,"鶏手羽元: 8本
大根: 300g(1/4本)
しょうが(薄切り): 1かけ
万能ねぎ(小口切り): 適量
ミツカン　味ぽん®: 150mL
みりん: 100mL
水: 150mL","1 まぜ技ユニットを本体にセットする。
2 大根は2cm厚さのいちょう切りにする。鶏手羽元は水けをペーパータオル等でふき取る。
3 内鍋に2としょうがを入れ、[Ａ]をそそぐ。
メニューを選ぶ → メニュー番号で探す → No.0355(厚切り大根と鶏手羽元のさっぱり煮) → 調理を開始する → スタート
4 加熱後、ふたを開けて鶏手羽元全体に煮汁をからめ、大根とともに器に盛る。お好みで万能ねぎを飾る。
★このレシピは、株式会社Mizkanとのコラボメニューです。

ミツカン　味ぽん®
かんきつ果汁・醸造酢・しょうゆがひとつになった他では味わえない絶妙な風味の調味料です。「つけて」「かけて」幅広くお使いいただける「ニッポンのさっぱり味」調味料です。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4355
厚切り！豚トロの煮豚(ヘルシオデリ),,材料：3人分,約407kcal,75分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000027.jpg,"豚トロ（たれ入り）: 1パック
厚揚げ、れんこん: 1パック","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※豚トロ（たれ入り）は内鍋に入るやわらかさになるまで解凍する。（目安：流水2～3分） 全解凍の必要はありません。
※まぜ技ユニットは不要です。
※厚揚げとれんこんは加熱中常温に置いておきます。
1 内鍋に豚トロ（たれ入り）を入れ、本体にセットする。
手動で作る → 煮物を作る(まぜない） → 45分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。
2 加熱後、やけどに気をつけながらふたを開け、厚揚げとれんこんを加え、全体をよく混ぜ合わせ、15分延長加熱する。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000027
甘酒,0107,,約538kcal(全量),1分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4107.jpg,"ごはん(冷やごはんは軽く温めておく): 150g
水: 200mL
米麹(乾燥・一粒ずつにばらしておく): 100g","1 内鍋、内ぶた、まぜ技ユニット、材料をかき混ぜるスプーンなどは、アルコール消毒または煮沸消毒(下記ポイント参照)して冷ましておく。
2 まぜ技ユニットを本体にセットする。
3 内鍋に全材料を入れてよく混ぜ合わせ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0107(甘酒) → 調理を開始する → スタート
※甘酒は、お湯でのばしたり、しょうがを絞って飲むのはもちろん、ヨーグルトに入れる等、砂糖の代わりに使ってもよいでしょう。
発酵・低温調理について※お作りになる前に必ずお読みください
●温度設定：自動調理の発酵・低温調理は、加熱スタート後1分以内であれば温度の変更ができます(±３℃まで)。また、食材や調理環境によっては、調理温度と設定温度に差がある場合があります。
●保存：できあがった食品は、内鍋に入れたまま放置せず、すぐに取り出してください。塩麹や手作りみそなどの発酵食品以外は冷蔵室で保存の上、1～2日以内を目安に食べきってください。
●食材：新鮮なものを使用し、生ものを取り扱う際は手袋などをして直接触れないよう衛生面に注意して調理してください。
●ジッパー付き食品保存袋を使用する場合、下記項目をお読みのうえ、食品の漏れや熱による溶け、焦げなどに注意して正しくお使いください。
・ジッパー付き食品保存袋はポリエチレン製の耐熱温度100℃、厚さ0.06mm以上のものをご使用ください。
・食材を入れた後、空気をしっかり抜き、上部が上になるように内鍋に入れてください。
・内鍋に必ず水を水位MAXまで入れ、蒸しトレイをセットしてから加熱してください。
・各メニューに記載の分量や使い方などを変更すると、うまく仕上がらない場合があるため、記載通りに調理してください。
・記載している以外の使いかたは、蒸気・内容物の噴き出しややけどの原因になる恐れがありますので、注意してください。
煮沸消毒について
・内鍋に直接食材を入れて作る発酵・低温調理メニューを調理するときは、内鍋、内ぶた、まぜ技ユニット、加熱前に材料をかき混ぜるスプーンなどは煮沸消毒をしてから使います。
1 内ぶた、まぜ技ユニットは本体にセットする。内鍋に水約200mLとスプーン等を入れ、本体にセットする。
手動で作る → スープを作る → まぜない → 約20分 → スタート
2 加熱後、内鍋を本体から取り出して湯を捨て、ラップをして冷ます。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4107
甘酒チーズダッカルビ鍋,0450,材料：4人分,約429kcal,1時間,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4450.jpg,"鶏もも肉: 1枚(300g)
トッポギ(韓国棒状餅): 20本(150g)
キャベツ: 1/6玉(100g)
玉ねぎ: 1/2個(80g)
ピーマン: 1個(40g)
森永製菓　甘酒: 1缶(190g)
コチュジャン: 70g
しょうゆ: 50g
はちみつ: 40g
しょうが(市販のチューブ入りでも可): 5g
おろしにんにく(市販のチューブ入りでも可): 5g
とろけるチーズ: 60g
ごま油: 小さじ１
青ねぎ: 適量
糸唐辛子: 適量","1 鶏もも肉は、ひと口大に切る。
2 トッポギは水洗いし、ザルに上げ水気をきる。
3 キャベツはざく切りにし、玉ねぎはくし切り、ピーマンはひと口大にカットする。
4 [A]の材料を全てボウルに入れ、よく混ぜ合わせる。
5 内鍋に1、2、3、4の順に入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No. 450(甘酒チーズダッカルビ鍋) → 調理を開始する → スタート
6 加熱後、器に盛り、温かいうちにとろけるチーズをかけ、ごま油を回しかける。
7 最後に小口切りにした青ねぎと、糸唐辛子を散らしてできあがり。
おすすめポイント
ホットクックと甘酒の効果でお肉も柔らかく味がしっかり染み込みます。辛さはコチュジャンの量で調整してください。

★このレシピは「うちれぴ」とのコラボレーションによる、森永製菓株式会社ご提供レシピです。

酒粕と米麹のふたつの発酵素材が入った、酒粕のコクと米麹の甘みが活きたロングセラーの甘酒。ホットくおいしさのホットクックと甘酒の発酵パワーでコク深く仕上がります。「森永 甘酒190g」と食材を入れるだけで、いつものメニューが豪華になっておいしさもアップ！

「うちれぴ」連携について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4450
甘酒豚角煮肉じゃが,0354,材料：4人分,約350kcal,1時間35分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4354.jpg,"じゃがいも(乱切り): 3個(450g)
にんじん(乱切り): 1/2本(100g)
玉ねぎ(くし切り): 1個(200g)
しょうが(薄切り): １かけ(約10g)
豚バラかたまり肉: 200g
しょうゆ: 大さじ4
森永製菓　甘酒: 1缶(190g)","1 豚バラ肉は5cm角に切る。
2 内鍋に野菜と豚バラ肉、しょうゆ、甘酒を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0354(甘酒豚角煮肉じゃが) → 調理を開始する → スタート

※お好みで、いんげんを添えてもよいでしょう。
おすすめポイント
ホットクックと甘酒の効果で大きめにカットしたお肉も柔らかく仕上がります。
★このレシピは「うちれぴ」とのコラボレーションによる、森永製菓株式会社ご提供レシピです。

酒粕と米麹のふたつの発酵素材が入った、酒粕のコクと米麹の甘みが活きたロングセラーの甘酒。ホットくおいしさのホットクックと甘酒の発酵パワーで豚バラブロックも柔らかく、コク深く仕上がります。「森永 甘酒190g」と食材を入れるだけで、いつものメニューが豪華になっておいしさもアップ！
「うちれぴ」連携について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4354
あめ色玉ねぎ(1個)(もっとクック専用),,,約180kcal(全量),40分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R100000000015.jpg,"サラダ油: 大さじ1
玉ねぎ(薄切り): 1個(200g)","1 もっとクック(別売まぜ技ユニット)を本体にセットする。
2 内鍋に全材料を材料表の順に入れ、本体にセットする。
メニューを選ぶ → カテゴリーで探す → オプションメニュー → 別売アクセサリー → 別売アクセサリーメニュー → あめ色玉ねぎ(1個)(もっとクック専用) → 調理を開始する → スタート
3 加熱後、お好みの仕上がりになるまで様子を見ながら、5～10分ずつ延長で加熱を繰り返す。
※玉ねぎの種類によって、仕上がりは異なります。
※焦げそうなときは、少量の水を足しつつ加熱すると焦げを緩和できます。

※延長を繰り返すことで、下記のような色合いまで加熱することができます。


もっとクックの紹介やご購入について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R100000000015
あめ色玉ねぎ(3個)(もっとクック専用),,,約430kcal(全量),10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R100000000017.jpg,"サラダ油: 大さじ2
玉ねぎ(薄切り): 3個(600g)","1 もっとクック(別売まぜ技ユニット)を本体にセットする。
2 内鍋に全材料を材料表の順に入れ、本体にセットする。
メニューを選ぶ → カテゴリーで探す → オプションメニュー → 別売アクセサリー → 別売アクセサリーメニュー → あめ色玉ねぎ(3個)(もっとクック専用) → 調理を開始する → スタート
3 加熱後、お好みの仕上がりになるまで様子を見ながら、5～10分ずつ延長で加熱を繰り返す。
※玉ねぎの種類によって、仕上がりは異なります。
※焦げそうなときは、少量の水を足しつつ加熱すると焦げを緩和できます。

※延長を繰り返すことで、下記のような色合いまで加熱することができます。


もっとクックの紹介やご購入について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R100000000017
あめ色玉ねぎ(2個)(もっとクック専用),,,約305kcal(全量),50分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R100000000016.jpg,"サラダ油: 大さじ1と1/2
玉ねぎ(薄切り): 2個(400g)","1 もっとクック(別売まぜ技ユニット)を本体にセットする。
2 内鍋に全材料を材料表の順に入れ、本体にセットする。
メニューを選ぶ → カテゴリーで探す → オプションメニュー → 別売アクセサリー → 別売アクセサリーメニュー → あめ色玉ねぎ(2個)(もっとクック専用) → 調理を開始する → スタート
3 加熱後、お好みの仕上がりになるまで様子を見ながら、5～10分ずつ延長で加熱を繰り返す。
※玉ねぎの種類によって、仕上がりは異なります。
※焦げそうなときは、少量の水を足しつつ加熱すると焦げを緩和できます。

※延長を繰り返すことで、下記のような色合いまで加熱することができます。


もっとクックの紹介やご購入について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R100000000016
あめ色玉ねぎ(4個)(もっとクック専用),,,約555kcal(全量),1時間15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R100000000018.jpg,"サラダ油: 大さじ2と1/2
玉ねぎ(薄切り): 4個(800g)","1 もっとクック(別売まぜ技ユニット)を本体にセットする。
2 内鍋に全材料を材料表の順に入れ、本体にセットする。
メニューを選ぶ → カテゴリーで探す → オプションメニュー → 別売アクセサリー → 別売アクセサリーメニュー → あめ色玉ねぎ(4個)(もっとクック専用) → 調理を開始する → スタート
3 加熱後、お好みの仕上がりになるまで様子を見ながら、5～10分ずつ延長で加熱を繰り返す。
※玉ねぎの種類によって、仕上がりは異なります。
※焦げそうなときは、少量の水を足しつつ加熱すると焦げを緩和できます。

※延長を繰り返すことで、下記のような色合いまで加熱することができます。


もっとクックの紹介やご購入について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R100000000018
あめ色玉ねぎのステーキソース(もっとクック専用),,,約616kcal(全量),1時間25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R100000000020.jpg,"サラダ油: 大さじ1と1/2
玉ねぎ(薄切り): 2個(400g)
ポン酢しょうゆ: 80mL
みりん: 80mL","1 もっとクック(別売まぜ技ユニット)を本体にセットする。
2 内鍋に[A]を材料表の順に入れ、本体にセットする。
メニューを選ぶ → カテゴリーで探す → オプションメニュー → 別売アクセサリー → 別売アクセサリーメニュー → あめ色玉ねぎのステーキソース(もっとクック専用) → 調理を開始する → スタート
3 途中、報知音が鳴れば、ふたを開け、やけどに気をつけて、内鍋に[B]を加えて、ふたを閉めてスタートする。
※残り時間が10分のとき、報知音が鳴り、「食材を加えてください」の表示が出ます。
※ふたを開ける際は、とりけしキーは押さないでください。

■ステーキ、ローストビーフ、サラダなどにかけてもよいでしょう。

もっとクックの紹介やご購入について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R100000000020
